title,author,genre,year,rating,age_rating,completion,price,formats,region
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,1997,4.5,All Ages,"Series Completed",9.99,"Print,Ebook,Audiobook",Worldwide
Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy,1998,4.4,All Ages,"Series Completed",9.99,"Print,Ebook,Audiobook",Worldwide
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fantasy,1999,4.6,All Ages,"Series Completed",10.99,"Print,Ebook,Audiobook",Worldwide
Harry Potter and the Goblet of Fire,J.K. Rowling,Fantasy,2000,4.6,All Ages,"Series Completed",11.99,"Print,Ebook,Audiobook",Worldwide
Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy,2003,4.4,All Ages,"Series Completed",12.99,"Print,Ebook,Audiobook",Worldwide
Harry Potter and the Half-Blood Prince,J.K. Rowling,Fantasy,2005,4.5,All Ages,"Series Completed",12.99,"Print,Ebook,Audiobook",Worldwide
Harry Potter and the Deathly Hallows,J.K. Rowling,Fantasy,2007,4.6,All Ages,"Series Completed",13.99,"Print,Ebook,Audiobook",Worldwide
Red Rising,Pierce Brown,Sci-Fi,2014,4.2,Teen,"Series Ongoing",11.99,"Print,Ebook,Audiobook",Worldwide
Golden Son,Pierce Brown,Sci-Fi,2015,4.4,Teen,"Series Ongoing",12.99,"Print,Ebook,Audiobook",Worldwide
Morning Star,Pierce Brown,Sci-Fi,2016,4.5,Teen,"Series Ongoing",12.99,"Print,Ebook,Audiobook",Worldwide
Iron Gold,Pierce Brown,Sci-Fi,2018,4.1,Teen,"Series Ongoing",14.99,"Print,Ebook,Audiobook",Worldwide
Dark Age,Pierce Brown,Sci-Fi,2019,4.3,Teen,"Series Ongoing",15.99,"Print,Ebook,Audiobook",Worldwide
Light Bringer,Pierce Brown,Sci-Fi,2023,4.5,Teen,"Series Ongoing",16.99,"Print,Ebook,Audiobook",Worldwide
The Final Empire (Mistborn #1),Brandon Sanderson,Fantasy,2006,4.5,Teen,"Series Completed",10.99,"Print,Ebook,Audiobook",Worldwide
The Well of Ascension (Mistborn #2),Brandon Sanderson,Fantasy,2007,4.3,Teen,"Series Completed",11.99,"Print,Ebook,Audiobook",Worldwide
The Hero of Ages (Mistborn #3),Brandon Sanderson,Fantasy,2008,4.5,Teen,"Series Completed",11.99,"Print,Ebook,Audiobook",Worldwide
The Alloy of Law (Mistborn #4),Brandon Sanderson,Fantasy,2011,4.3,Teen,"Series Completed",12.99,"Print,Ebook,Audiobook",Worldwide
Shadows of Self (Mistborn #5),Brandon Sanderson,Fantasy,2015,4.3,Teen,"Series Completed",13.99,"Print,Ebook,Audiobook",Worldwide
The Bands of Mourning (Mistborn #6),Brandon Sanderson,Fantasy,2016,4.4,Teen,"Series Completed",13.99,"Print,Ebook,Audiobook",Worldwide
The Lost Metal (Mistborn #7),Brandon Sanderson,Fantasy,2022,4.4,Teen,"Series Completed",15.99,"Print,Ebook,Audiobook",Worldwide
The Eye of the World (Wheel of Time #1),Robert Jordan,Fantasy,1990,4.3,Teen,"Series Completed",9.99,"Print,Ebook",Worldwide
The Great Hunt (Wheel of Time #2),Robert Jordan,Fantasy,1990,4.3,Teen,"Series Completed",10.99,"Print,Ebook",Worldwide
